admin/auth,/api/v1/admin/auth/access/actions/basic-login,post,登录
admin/auth,/api/v1/admin/auth/access/actions/exchange-token,post,Exchange
admin/common,/api/v1/admin/common/options/employees,get,员工Options远程搜索
admin/common,/api/v1/admin/common/options/employee-query,get,查询员工过滤条件
admin/common,/api/v1/admin/common/options/departments,get,部门Options远程搜索
admin/customer,/api/v1/admin/customer/customers/:id,get,查询客户
admin/customer,/api/v1/admin/customer/customers,get,获取客户列表
admin/customer,/api/v1/admin/customer/customers,post,创建客户
admin/customer,/api/v1/admin/customer/customers/:id,patch,更新客户
admin/customer,/api/v1/admin/customer/customers/:id,delete,删除客户
admin/customer,/api/v1/admin/customer/customers/:id/actions/employees,post,为客户分配员工
admin/department,/api/v1/admin/department/department-tree/:depId,get,查询组织架构
admin/department,/api/v1/admin/department/departments/:id,get,获取单个部门详情
admin/department,/api/v1/admin/department/departments,post,创建新部门
admin/department,/api/v1/admin/department/departments/:id,patch,更新部门信息(可选更新)
admin/department,/api/v1/admin/department/departments/:id,delete,删除部门
admin/dictionary,/api/v1/admin/dictionary/types,get,获取字典类型列表
admin/dictionary,/api/v1/admin/dictionary/types,post,创建字典类型
admin/dictionary,/api/v1/admin/dictionary/types/:id,put,更新字典类型
admin/dictionary,/api/v1/admin/dictionary/types/:id,delete,删除字典类型
admin/dictionary,/api/v1/admin/dictionary/items,get,获取字典项列表
admin/dictionary,/api/v1/admin/dictionary/items,post,创建字典项
admin/dictionary,/api/v1/admin/dictionary/items/:id,put,更新字典项
admin/dictionary,/api/v1/admin/dictionary/items/:id,delete,删除字典项
admin/employee,/api/v1/admin/employee/employees/actions/sync,post,同步员工
admin/employee,/api/v1/admin/employee/employees/:id,get,查询员工
admin/employee,/api/v1/admin/employee/employees,get,List员工
admin/employee,/api/v1/admin/employee/employees,post,创建员工
admin/employee,/api/v1/admin/employee/employees/:id,patch,编辑员工信息
admin/employee,/api/v1/admin/employee/employees/:id,delete,删除员工
admin/employee,/api/v1/admin/employee/employees/actions/reset-password,post,重设密码
admin/lead,/api/v1/admin/lead/leads,get,查询线索列表
admin/lead,/api/v1/admin/lead/leads,post,创建线索
admin/lead,/api/v1/admin/lead/leads/:id,patch,编辑线索
admin/lead,/api/v1/admin/lead/leads/:id,delete,删除线索
admin/lead,/api/v1/admin/lead/leads/:id/actions/assign-to-employee,post,分配线索给员工
admin/media,/api/v1/admin/media/medias,get,查询媒资列表
admin/media,/api/v1/admin/media/medias/actions/create-upload-url,post,请求媒资上传链接
admin/media,/api/v1/admin/media/medias/:mediaKey,put,创建或更新媒资
admin/media,/api/v1/admin/media/medias/:key,get,根据媒资key获取媒资
admin/media,/api/v1/admin/media/medias/:key,delete,删除媒资
admin/opportunity,/api/v1/admin/opportunity/opportunities,get,查询商机列表
admin/opportunity,/api/v1/admin/opportunity/opportunities,post,创建商机
admin/opportunity,/api/v1/admin/opportunity/opportunities/:id/assign-employee,put,为商机分配员工
admin/opportunity,/api/v1/admin/opportunity/opportunities/:id,put,修改商机信息
admin/opportunity,/api/v1/admin/opportunity/opportunities/:id,delete,删除商机
admin/permission,/api/v1/admin/permission/roles,get,查询角色列表
admin/permission,/api/v1/admin/permission/roles,post,创建角色
admin/permission,/api/v1/admin/permission/roles/:roleCode,get,获取角色详情
admin/permission,/api/v1/admin/permission/roles/:roleCode,patch,更新角色详情
admin/permission,/api/v1/admin/permission/roles/:roleCode/users,get,获取角色的用户列表
admin/permission,/api/v1/admin/permission/roles/:roleCode/actions/set-permissions,post,为角色授予API权限
admin/permission,/api/v1/admin/permission/api-list,get,查询API列表
admin/permission,/api/v1/admin/permission/users/:userId/actions/set-roles,post,为用户授予角色
admin/contract-way,/api/v1/admin/contract-way/group-tree,get,获取渠道活码分组树
admin/contract-way,/api/v1/admin/contract-way/groups,get,查询渠道活码分组列表
admin/contract-way,/api/v1/admin/contract-way,get,查询渠道活码
admin/contract-way,/api/v1/admin/contract-way,post,创建活码
admin/contract-way,/api/v1/admin/contract-way/:id,put,修改活码
admin/contract-way,/api/v1/admin/contract-way/:id,delete,删除活码
admin/scrm/customer,/api/v1/admin/scrm/customer/customers/:id,get,查询客户详情
admin/scrm/customer,/api/v1/admin/scrm/customer/customers,get,查询客户详情列表
admin/scrm/customer,/api/v1/admin/scrm/customer/customers/:id,patch,修改客户信息
admin/userinfo,/api/v1/admin/user-center/user-info,get,获取用户信息
admin/userinfo,/api/v1/admin/user-center/menu-roles,get,获取用户可见菜单
admin/userinfo,/api/v1/admin/user-center/users/actions/modify-password,post,修改密码
